,name,style,brewery_id,id,abv,ibu,ounces
1739,Sex Panther (2014),American Porter,30,852,0.069,20.0,12.0
1740,Devil’s Ale,American Pale Ale (APA),30,850,0.055,45.0,12.0
1741,Rail Slide Imperial Spiced Ale,Herbed / Spiced Beer,30,839,0.081,,12.0
1742,Mr. Pineapple,Fruit / Vegetable Beer,30,777,0.05,20.0,12.0
1743,American Idiot Ale (2012),American Pale Ale (APA),30,764,0.055,45.0,12.0
1744,Hop Shock IPA (2010),American IPA,30,317,0.07,85.0,12.0
1745,SanTan HefeWeizen (2010),Hefeweizen,30,286,0.05,15.0,12.0
1746,Devil’s Ale (2010),American Pale Ale (APA),30,285,0.055,45.0,12.0
1747,Epicenter Amber Ale (2010),American Amber / Red Ale,30,124,0.055,20.0,12.0
1748,Sanitas Saison Ale,Saison / Farmhouse Ale,419,1392,0.058,20.0,12.0
1749,Sanitas Black IPA,American Black Ale,419,1391,0.068,65.0,12.0
1750,Giant DIPA,American Double / Imperial IPA,252,2002,0.08900000000000001,88.0,16.0
1751,Dread Brown Ale,American Brown Ale,252,1683,0.054000000000000006,,12.0
1752,Casinos IPA,English India Pale Ale (IPA),252,1362,0.07,,16.0
1753,Saison 88,Saison / Farmhouse Ale,392,1519,0.055,30.0,12.0
1754,Black IPA,American Black Ale,392,967,0.071,95.0,12.0
1755,Santa Fe Irish Red Ale,Irish Red Ale,392,599,0.045,,12.0
1756,Santa Fe Oktoberfest,Märzen / Oktoberfest,392,307,,,12.0
1757,Imperial Java Stout,Russian Imperial Stout,392,305,0.08,,12.0
1758,Freestyle Pilsner,German Pilsener,392,304,0.055,,12.0
1759,Happy Camper IPA,American IPA,392,217,0.066,,12.0
1760,Oval Beach Blonde Ale,American Blonde Ale,398,1477,0.05,11.0,16.0
1761,Oak Aged Cider,Cider,394,1503,0.065,,12.0
1762,Ginger Cider,Cider,394,1466,0.065,,12.0
1763,Schilling Hard Cider,Cider,394,1245,0.065,,12.0
1764,Schlafly Yakima Wheat Ale,American Pale Wheat Ale,428,1324,0.05,45.0,12.0
1765,Schlafly Black Lager,Schwarzbier,428,1323,0.05,,12.0
1766,Schlafly IPA,American IPA,428,1078,0.045,30.0,12.0
1767,Schlafly American Brown Ale,American Brown Ale,428,1077,0.05,30.0,12.0
1768,Schlafly Hefeweizen,Hefeweizen,428,588,0.041,16.0,12.0
1769,Schlafly Summer Lager,Munich Helles Lager,428,53,0.045,17.0,12.0
1770,Sea Dog Wild Blueberry Wheat Ale,Fruit / Vegetable Beer,502,815,0.047,,12.0
1771,Blur India Pale Ale,American IPA,432,1302,0.07400000000000001,60.0,12.0
